"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 10 05:50:32 UTC 2026","Wed Jun 10 05:50:56 UTC 2026","23946","","PIM Management","","EmployeeTests","CancelEmployeeDeletion","CancelEmployeeDeletion",""
"passed","Wed Jun 10 05:50:32 UTC 2026","Wed Jun 10 05:50:59 UTC 2026","26707","","PIM Management","","EmployeeTests","DeleteEmployee","DeleteEmployee",""
"passed","Wed Jun 10 05:50:32 UTC 2026","Wed Jun 10 05:50:50 UTC 2026","17738","","Recruitment Management","","RecruitmentTests","CreateCandidate","CreateCandidate",""
"passed","Wed Jun 10 05:50:53 UTC 2026","Wed Jun 10 05:51:17 UTC 2026","23607","","Recruitment Management","","RecruitmentTests","DeleteCandidate","DeleteCandidate",""
"passed","Wed Jun 10 05:50:56 UTC 2026","Wed Jun 10 05:51:27 UTC 2026","31381","","Recruitment Management","","RecruitmentTests","SearchCandidateByKeywords","SearchCandidateByKeywords",""
"passed","Wed Jun 10 05:50:50 UTC 2026","Wed Jun 10 05:51:06 UTC 2026","16102","","Admin Management","","AdminTests","CreateLocation","CreateLocation",""
"passed","Wed Jun 10 05:50:50 UTC 2026","Wed Jun 10 05:51:17 UTC 2026","27311","","Admin Management","","AdminTests","DeleteLocation","DeleteLocation",""
"passed","Wed Jun 10 05:50:32 UTC 2026","Wed Jun 10 05:50:56 UTC 2026","23165","","PIM Management","","EmployeeTests","EditEmployeeContactDetails","EditEmployeeContactDetails",""
"passed","Wed Jun 10 05:50:32 UTC 2026","Wed Jun 10 05:50:50 UTC 2026","17531","","PIM Management","","EmployeeTests","CreateEmployee","CreateEmployee",""
"passed","Wed Jun 10 05:50:32 UTC 2026","Wed Jun 10 05:50:53 UTC 2026","20918","","Admin Management","","AdminTests","CreateJobTitle","CreateJobTitle",""
